uid,recommendations
42544,"['Akatsuki no Yona', 'Sayonara no Asa ni Yakusoku no Hana wo Kazarou', 'Appare-Ranman!', 'One Piece', 'Sirius', 'Takt Op. Destiny', 'Magi: The Labyrinth of Magic', 'Violet Evergarden', 'Scrapped Princess', 'Hello! Sandybell', 'Hitsugi no Chaika', 'Ooyukiumi no Kaina', 'Taiyou no Ko Esteban', 'Tenkuu no Shiro Laputa', 'Fushigi no Umi no Nadia', 'Akagami no Shirayuki-hime', 'Ars no Kyojuu', 'Lost Song', 'Golden Kamuy', 'Last Exile']"
615,"['Puni Puni☆Poemii', 'Cosplay Complex', 'Mahou Shoujo Pretty Sammy', 'Tantei Opera Milky Holmes', 'Di Gi Charat', 'Paniponi Dash!', 'Getsumen to Heiki Mina', 'Higurashi no Naku Koro ni Kira', 'Futakoi Alternative', 'Sailor Victory', 'Popotan', 'Fight Ippatsu! Juuden-chan!!', 'Kaitou Tenshi Twin Angel: Kyunkyun☆Tokimeki Paradise!!']"
1665,"['Giant Robo the Animation: Chikyuu ga Seishi Suru Hi', 'Dragon Ball Z', 'Yuu☆Yuu☆Hakusho']"
1655,"['Sayonara Zetsubou Sensei', 'Panty & Stocking with Garterbelt', 'Detroit Metal City', 'Keroro Gunsou', 'Papuwa', 'Heppoko Jikken Animation Excel♥Saga', 'Re: Cutie Honey', 'Di Gi Charat']"
44055,"['Horimiya', 'Given', 'SK∞', 'Doukyuusei (Movie)', 'Umibe no Étranger', 'Tasogare Out Focus', 'Skip to Loafer', '30-sai made Doutei dato Mahoutsukai ni Nareru Rashii', 'Yuri!!! on Ice', 'Adachi to Shimamura', 'Watashi ga Motete Dousunda', 'Tanaka-kun wa Itsumo Kedaruge', 'Kimi to Boku.', 'ReLIFE', 'Yagate Kimi ni Naru']"
10080,"['Amagami SS', 'Fight Ippatsu! Juuden-chan!!', 'Shugo Chara!', 'Amagami SS+ Plus', 'R-15', 'Date A Live', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku', 'Dakara Boku wa, H ga Dekinai.', 'Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru', 'Hoshizora e Kakaru Hashi', 'Yosuga no Sora', 'Shuffle!', 'D.C.: Da Capo', 'Air', 'Kanon (2006)', 'D.C.II: Da Capo II', 'Clannad', 'Mahou Shoujo Madoka★Magica']"
40356,['Ragna Crimson']
1672,['Bug tte Honey']
15545,['Gokicha!!']
5530,"['Kuroshitsuji', 'D.Gray-man', 'Dantalian no Shoka', 'Makai Ouji: Devils and Realist', '07-Ghost', 'Chrno Crusade', 'Gosick', 'Soul Eater', 'Mahou Shoujo Madoka★Magica', 'Tsubasa Chronicle', 'Yumekui Merry', 'Shakugan no Shana', 'Vanitas no Karte', 'Karneval (TV)', 'Erementar Gerad', 'Code Geass: Hangyaku no Lelouch', 'Fullmetal Alchemist: Brotherhood', 'Blood+', 'Kurokami The Animation', 'Kuroshitsuji: Book of Circus', '.hack//Sign', 'Vampire Knight', 'Hakushaku to Yousei', 'Fate/stay night', 'Heart no Kuni no Alice: Wonderful Wonder World', 'Zero no Tsukaima', 'Nabari no Ou', 'Kuroshitsuji II', 'Monochrome Factor', 'Jibaku Shounen Hanako-kun', 'Shadows House', 'Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation', 'Tasogare Otome x Amnesia', 'Guilty Crown', 'Tegamibachi', 'Shounen Onmyouji', 'Tales of the Abyss', 'Darker than Black: Kuro no Keiyakusha', 'Death Note', 'Shigofumi', 'Arcana Famiglia', 'Ergo Proxy', 'Rozen Maiden', 'Ao no Exorcist', 'Fullmetal Alchemist', 'Toaru Hikuushi e no Koiuta', 'Higurashi no Naku Koro ni', 'Alice in Voodooland', 'Suteki Tantei Labyrinth', 'Re:Zero kara Hajimeru Isekai Seikatsu', '11eyes', ""Le Chevalier D'Eon"", 'Phantom: Requiem for the Phantom', 'Fate/Zero 2nd Season', 'Long Zu', 'Servamp', 'Date A Live', 'Hakkenden: Touhou Hakken Ibun', 'Yu☆Gi☆Oh!', 'Yu☆Gi☆Oh! Duel Monsters', 'Persona 5 the Animation', 'Fate/stay night: Unlimited Blade Works', 'Ousama Ranking', 'Kiseijuu: Sei no Kakuritsu', 'Tenshi Kinryouku', 'Ansatsu Kyoushitsu', 'Katekyou Hitman Reborn!', 'Kekkai Sensen', 'Chaos Dragon: Sekiryuu Seneki', 'Made in Abyss', 'Busou Renkin', 'Koukyoushihen Eureka Seven', 'Gokukoku no Brynhildr', 'Dansai Bunri no Crime Edge', 'Madlax', 'Kyou kara Maou!', 'Shikabane Hime: Kuro', 'Shinkyoku Soukai Polyphonica Crimson S', 'Shikabane Hime: Aka', 'Princess Tutu', 'Zombie-Loan', 'Fushigi no Kuni no Miyuki-chan', 'Hatenkou Yuugi', 'Scrapped Princess', 'Shinseiki Evangelion', 'Ookami to Koushinryou', 'Mawaru Penguindrum', 'ChäoS;HEAd', 'Kaze no Stigma', 'Sekirei', 'Densetsu no Yuusha no Densetsu', 'Shinkyoku Soukai Polyphonica', 'Persona 4 the Animation', 'Ookamikakushi', 'Deadman Wonderland', 'Tonari no Kaibutsu-kun', 'Haibane Renmei', 'Kagi Hime Monogatari: Eikyuu Alice Rondo', 'Kaichou wa Maid-sama!', 'Tsubasa Chronicle 2nd Season', 'Noir', 'Ookami-san to Shichinin no Nakama-tachi', 'Loveless', 'Inu x Boku SS']"
13759,"['Toradora!', 'Bokura wa Minna Kawai-sou', 'Chuunibyou demo Koi ga Shitai!', 'Bokutachi no Remake', 'Hachimitsu to Clover', 'Shigatsu wa Kimi no Uso', 'Saenai Heroine no Sodatekata', 'Golden Time', 'Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru.', 'Bakuman.', 'Ore no Kanojo to Osananajimi ga Shuraba Sugiru', 'ReLIFE', 'Nourin', 'Angel Beats!', 'Hanasaku Iroha', 'Hyouka', 'Nagi no Asu kara', 'Tonari no Kaibutsu-kun', 'Chobits', 'Clannad', 'Denpa Onna to Seishun Otoko', 'Ano Natsu de Matteru', 'Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.', 'Ansatsu Kyoushitsu', 'Gekkan Shoujo Nozaki-kun', 'Kokoro Connect', 'Oniichan dakedo Ai sae Areba Kankeinai yo ne!', '3-gatsu no Lion', 'Hentai Ouji to Warawanai Neko.', 'Mayoi Neko Overrun!', 'Tada-kun wa Koi wo Shinai', 'Sword Art Online', 'Baka to Test to Shoukanjuu', 'Kuragehime', 'Kono Bijutsu-bu ni wa Mondai ga Aru!', 'Plastic Memories', 'Imouto sae Ireba Ii.', 'Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru', 'Gin no Saji', 'Ao Haru Ride', 'Absolute Duo', 'Fruits Basket 1st Season', 'Bokutachi wa Benkyou ga Dekinai', 'Sunohara-sou no Kanrinin-san', '5-toubun no Hanayome', 'Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken', 'No Game No Life', 'Koi to Senkyo to Chocolate', 'Boku wa Tomodachi ga Sukunai', 'Shoujo-tachi wa Kouya wo Mezasu', 'Tsuki ga Kirei', 'Special A', 'Kotoura-san', 'Ore no Imouto ga Konnani Kawaii Wake ga Nai', 'Rec', 'Haiyore! Nyaruko-san', 'Yamada-kun to 7-nin no Majo', 'Medaka Box', 'Sora no Otoshimono', 'Suki na Ko ga Megane wo Wasureta', 'Little Busters!', 'Shirobako', 'Doukyonin wa Hiza, Tokidoki, Atama no Ue.', 'Mangaka-san to Assistant-san to The Animation', 'Tanaka-kun wa Itsumo Kedaruge', 'Dagashi Kashi', 'Magic-Kyun! Renaissance', 'Kyoukai no Kanata', 'Hataraku Maou-sama!', 'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka', 'Clannad: After Story', 'Comic Girls', 'Kanon (2006)', 'New Game!', 'Youkai Apartment no Yuuga na Nichijou', 'Netoge no Yome wa Onnanoko ja Nai to Omotta?', 'Suzumiya Haruhi no Yuuutsu', 'Osananajimi ga Zettai ni Makenai Love Comedy', 'Tamako Market', 'Komi-san wa, Comyushou desu.', 'Shounen Maid', 'Synduality: Noir', 'WWW.Working!!', 'Josee to Tora to Sakana-tachi', 'Nazo no Kanojo X', 'D-Frag!', 'Nodame Cantabile', 'Love Hina', 'Ore wo Suki nano wa Omae dake ka yo', 'Hibike! Euphonium', 'High Score Girl', 'Koi wa Ameagari no You ni', 'Houseki no Kuni', 'Love Live! School Idol Project', 'Working!!', 'Danshi Koukousei no Nichijou', 'Erementar Gerad', 'Dragon Crisis!', 'Tari Tari', 'White Album', 'Aura: Maryuuin Kouga Saigo no Tatakai', 'Free! Eternal Summer', 'Sora yori mo Tooi Basho', 'Hidan no Aria', 'Ookami to Koushinryou', 'Majo no Takkyuubin', 'Kiss x Sis (TV)', 'Seto no Hanayome', 'Boku wa Tomodachi ga Sukunai Next', 'Ouritsu Uchuugun: Honneamise no Tsubasa', 'Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?', 'NHK ni Youkoso!', 'Saenai Heroine no Sodatekata ♭', 'White Album 2', 'Maison Ikkoku', 'Kaze ga Tsuyoku Fuiteiru', 'Eizouken ni wa Te wo Dasu na!', 'Mahoraba: Heartful Days', 'Nyan Koi!', 'Shokugeki no Souma', 'Kanojo ga Flag wo Oraretara', 'Ai Yori Aoshi', 'Punch Line', 'Violet Evergarden', 'Kimi to Boku.', 'DearS', 'Guilty Crown', 'Usagi Drop', 'Sore ga Seiyuu!']"
10798,"['Gosick', 'Majin Tantei Nougami Neuro', 'Shinrei Tantei Yakumo', 'Subete ga F ni Naru', 'Koukaku Kidoutai: Stand Alone Complex', 'Hyouka', 'Meitantei Conan', 'Dantalian no Shoka', 'Mononoke', 'Umineko no Naku Koro ni', 'No.6', 'Kyokou Suiri', 'Code Geass: Hangyaku no Lelouch', 'Death Parade', 'Ghost Hunt', 'Kuroshitsuji', 'Aoi Bungaku Series', 'Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru', 'Gatchaman Crowds', 'Speed Grapher', 'ACCA: 13-ku Kansatsu-ka', 'Spiral: Suiri no Kizuna', 'Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari', 'Ranpo Kitan: Game of Laplace', 'Mnemosyne: Mnemosyne no Musume-tachi', 'Bakemonogatari', 'Concrete Revolutio: Choujin Gensou', 'Kamisama no Memochou', 'Zankyou no Terror', 'Bungou Stray Dogs', 'Psycho-Pass', 'Code Geass: Hangyaku no Lelouch R2', 'Darker than Black: Kuro no Keiyakusha']"
1508,"['Night Head Genesis', 'Monster', 'Dantalian no Shoka', 'ChäoS;HEAd', 'Mission-E', 'Towa no Quon 1: Utakata no Kaben', 'Gilgamesh', 'Mob Psycho 100', 'B: The Beginning', 'Red Garden', 'Zettai Karen Children', 'Shinsekai yori', 'Code-E', 'Elfen Lied', 'Shingetsutan Tsukihime', 'Genocyber', 'Akira', 'Serial Experiments Lain', 'Armitage III: Poly-Matrix', 'Shion no Ou', 'Devilman Lady', 'Armitage III', 'Top Secret: The Revelation']"
3226,"['Diamond no Ace', 'H2', 'Capeta', 'Touch: Cross Road - Kaze no Yukue', 'Moshidora']"
36470,"['Gekkan Shoujo Nozaki-kun', 'Wotaku ni Koi wa Muzukashii', 'Hyouka', 'Sakura-sou no Pet na Kanojo', 'Yesterday wo Utatte', 'Irozuku Sekai no Ashita kara', 'Blend S', 'Golden Time', 'Tsuki ga Kirei', 'Haikara-san ga Tooru Movie 1: Benio, Hana no 17-sai', 'Senpai ga Uzai Kouhai no Hanashi', 'Doukyonin wa Hiza, Tokidoki, Atama no Ue.', 'Akagami no Shirayuki-hime', 'Bokura wa Minna Kawai-sou', 'Kotonoha no Niwa', 'ReLIFE', 'Toradora!', 'Shigatsu wa Kimi no Uso', 'Nijiiro Days', 'Itsudatte Bokura no Koi wa 10 cm Datta.', 'Just Because!', 'Rokuhou-dou Yotsuiro Biyori', 'Chuunibyou demo Koi ga Shitai!', 'Ultra Maniac']"
9379,"['Chuunibyou demo Koi ga Shitai!', 'Boku wa Tomodachi ga Sukunai', 'Arakawa Under the Bridge', 'Bakemonogatari', 'Tsuritama', 'Suzumiya Haruhi no Yuuutsu', 'Haiyore! Nyaruko-san', 'Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai', 'FLCL', 'Adachi to Shimamura', 'Sakura-sou no Pet na Kanojo', 'Toradora!', 'Sasami-san@Ganbaranai', 'Shinryaku! Ika Musume', 'Kannagi', 'True Tears', 'Netoge no Yome wa Onnanoko ja Nai to Omotta?', 'Gokukoku no Brynhildr', 'Ano Natsu de Matteru', 'Level E', 'No Game No Life', 'Hyouka', 'Denpa-teki na Kanojo', 'NHK ni Youkoso!', 'Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.', 'Boku wa Tomodachi ga Sukunai: Yaminabe wa Bishoujo ga Zannen na Nioi', 'C³', 'Sankarea', 'Narue no Sekai', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru.', 'Ore no Kanojo to Osananajimi ga Shuraba Sugiru', 'Kamisama no Memochou', 'Haibane Renmei', 'Inou-Battle wa Nichijou-kei no Naka de', 'Kakushigoto', 'Air', 'NieA Under 7', 'Kamisama ni Natta Hi', 'Nazo no Kanojo X', 'Soredemo Machi wa Mawatteiru', 'Tasogare Otome x Amnesia', 'H2O: Footprints in the Sand', 'Nagi no Asu kara', 'Black Lagoon', 'Saint Luminous Jogakuin', 'Kuragehime', 'UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku', 'ef: A Tale of Memories.', 'Iriya no Sora, UFO no Natsu', 'Haiyoru! Nyaruani', 'Angel Beats!', 'Aria the Animation', 'Kashimashi: Girl Meets Girl', 'Medaka Box', 'Seto no Hanayome', 'Ryuugajou Nanana no Maizoukin', 'Nisemonogatari', 'Sora no Method', 'Hibike! Euphonium', 'Girls Bravo: First Season', 'Jinrui wa Suitai Shimashita', 'Suzumiya Haruhi no Yuuutsu (2009)', 'Another', 'Namiuchigiwa no Muromi-san']"
35075,"['Tonari no Totoro', 'Dororon Enma-kun']"
55102,"[""BanG Dream! It's MyGO!!!!!"", 'Yoru no Kurage wa Oyogenai', 'Bocchi the Rock!', '""Oshi no Ko"" 2nd Season', 'Paripi Koumei', 'Nana']"
490,"['Sayonara Zetsubou Sensei', 'Lucky☆Star', 'Nichijou', 'Heppoko Jikken Animation Excel♥Saga', 'Negima!?', 'Mahou Sensei Negima!', 'Hidamari Sketch', 'Maria†Holic', 'Azumanga Daiou The Animation', 'Hyakko', 'Sensei no Ojikan: Dokidoki School Hours', 'Minami-ke', 'Mahoujin Guruguru (2017)', 'Majokko Tsukune-chan', 'Gugure! Kokkuri-san', 'Tsukuyomi: Moon Phase', 'Nurse Witch Komugi-chan Magikarte', 'Joshikousei no Mudazukai', 'Shikanoko Nokonoko Koshitantan', 'Yamato Nadeshiko Shichihenge♥', 'Hayate no Gotoku!', 'Nourin', 'Endro~!', 'Baka to Test to Shoukanjuu', 'Gintama', 'Seitokai no Ichizon', 'Ouran Koukou Host Club', 'Penguin Musume♥Heart', 'Oh! Edo Rocket', 'Abenobashi Mahou☆Shoutengai', 'Tengen Toppa Gurren Lagann', 'School Rumble', 'Yuyushiki', 'Jewelpet Sunshine', 'Choboraunyopomi Gekijou Ai Mai Mii', 'Super GALS! Kotobuki Ran', 'Chitose Get You!!']"
3568,"['Hajime no Ippo', 'Yawara!', 'Tennis no Oujisama', 'Taisou Zamurai', 'Kaleido Star', 'Over Drive', 'Eyeshield 21']"
29163,"['Shirobako', 'Gi(a)rlish Number', 'Cue!', 'Bakuman.', 'Rec', 'Lucky☆Star', 'Comic Girls', 'Kantoku Fuyuki Todoki', 'Sora yori mo Tooi Basho', 'Joshiraku', 'Acchi Kocchi', 'Mangirl!', 'Koe de Oshigoto! The Animation', ""Akiba's Trip The Animation"", 'Shounen Hollywood: Holly Stage for 49', 'Sakura Quest', 'Ballroom e Youkoso', 'Sakura-sou no Pet na Kanojo', 'Love Get Chu', 'New Game!']"
11241,"['Sengoku Basara', 'Hakuouki', 'Samurai Champloo', 'Densetsu no Yuusha no Densetsu', 'Naruto: Shippuuden', 'Hiiro no Kakera', 'Basilisk: Kouga Ninpou Chou', 'Samurai 7', 'Nurarihyon no Mago', 'Bleach', 'Hakkenden: Touhou Hakken Ibun 2nd Season', 'Rurouni Kenshin: Meiji Kenkaku Romantan - Shin Kyoto-hen', 'Seirei no Moribito', 'Nabari no Ou', 'Katanagatari', 'Hagure Yuusha no Aesthetica', 'Nanatsu no Taizai', 'Scrapped Princess', 'Donten ni Warau', 'Sword Art Online', 'Mushibugyou', 'Hitsugi no Chaika', 'Utawarerumono', 'Koukaku no Regios', 'Sengoku Basara Ni', 'Sengoku Otome: Momoiro Paradox', 'One Piece', 'Hyakka Ryouran: Samurai Girls', 'Samurai Deeper Kyou', 'Karneval (TV)', 'Kingdom', 'Erementar Gerad', 'Nobunaga the Fool', 'Groove Adventure Rave', 'Suki na Mono wa Suki Dakara Shou ga Nai!!', 'Blade & Soul', 'Ozma', 'Amatsuki', 'Shin Shirayuki-hime Densetsu Prétear', 'Code:Breaker']"
24439,"['Bungou Stray Dogs', 'Dorohedoro', 'Baccano!', 'FLCL', 'Cowboy Bebop', 'Durarara!!', 'Kyousou Giga (TV)', 'Trigun', 'Gintama', 'Space☆Dandy', 'Deadman Wonderland', 'Hamatora The Animation', 'K', 'Cop Craft', 'Concrete Revolutio: Choujin Gensou', 'Noragami', 'Mob Psycho 100', 'Kill la Kill', 'Darker than Black: Kuro no Keiyakusha', 'Boku no Hero Academia', 'Akudama Drive', 'Mob Psycho 100 II', 'Garo: Vanishing Line', 'Silent Möbius', 'One Punch Man', 'Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana', 'Soul Eater', 'BNA', 'Dimension W', 'Double Decker! Doug & Kirill', 'Zombie-Loan', 'Toaru Majutsu no Index', 'Tokyo ESP', 'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka', 'Devilman: Crybaby', 'JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai', 'Vampire Hunter D (2000)', 'Gatchaman Crowds', 'Sekai Seifuku: Bouryaku no Zvezda', 'Samurai Champloo', 'Gungrave', 'Code:Breaker', 'Hellsing Ultimate', 'Servamp', 'SK∞', 'Black Bullet', 'Cyberpunk: Edgerunners', 'Hunter x Hunter (2011)', 'Ansatsu Kyoushitsu', 'Sabikui Bisco', 'Vanitas no Karte', 'B: The Beginning', 'Persona 5 the Animation', 'Tengen Toppa Gurren Lagann', 'Panty & Stocking with Garterbelt', 'Bem', 'Kyoukai no Kanata', 'Nabari no Ou', 'Kiba', 'Chainsaw Man', 'Durarara!!x2 Shou', 'Lupin III (2015)', 'Zetman', 'Owari no Seraph', 'Hakata Tonkotsu Ramens', 'Nichijou', 'Enen no Shouboutai', 'Black Cat (TV)', 'Pandora Hearts', 'Yozakura Quartet: Hana no Uta', 'ēlDLIVE', 'Uchuu Patrol Luluco', 'Space☆Dandy 2nd Season', 'Tokyo Ghoul', 'Tiger & Bunny', 'Meisou! Underworld', ""Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen"", 'Devil May Cry', 'Black Lagoon', 'Fullmetal Alchemist: Brotherhood', 'Fugou Keiji: Balance:Unlimited', 'Rental Magica']"
40608,"['Shingeki no Kyojin', 'Dual! Parallel Lun-Lun Monogatari', 'Aldnoah.Zero', 'Darling in the FranXX', 'Sidonia no Kishi', 'Blue Gender', '86', 'IS: Infinite Stratos']"
3593,['Tenchi Muyou! Ryououki 2nd Season']
27947,"['JoJo no Kimyou na Bouken Part 5: Ougon no Kaze', 'Cowboy Bebop', 'Great Pretender', 'Magic Kaito 1412', 'Space☆Dandy', 'Meitantei Conan', 'Samurai Champloo', 'Baccano!', 'Spy x Family', 'Michiko to Hatchin', 'Super Crooks', 'Kekkai Sensen']"
37393,"['Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.', 'Endro~!', 'Kuma Kuma Kuma Bear', 'Kenja no Mago', 'Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita', 'Shikkakumon no Saikyou Kenja', 'Kono Subarashii Sekai ni Shukufuku wo!', 'Shijou Saikyou no Daimaou, Murabito A ni Tensei suru', 'Mairimashita! Iruma-kun', 'Eiyuuou, Bu wo Kiwameru Tame Tenseisu: Soshite, Sekai Saikyou no Minarai Kishi♀', 'Eoneu Nal Jameseo Kkaeeoboni Bagelyeoga Doeeo Isseotda', 'Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari', 'Shinmai Renkinjutsushi no Tenpo Keiei', 'Tensei Oujo to Tensai Reijou no Mahou Kakumei', 'One Punch Man', 'Jitsu wa Ore, Saikyou deshita?', 'Jashin-chan Dropkick', 'Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru', 'Scrapped Princess', 'Saiki Kusuo no Ψ-nan', ""Knight's & Magic"", 'Tensei shitara Slime Datta Ken', 'Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore', 'Hachi-nan tte, Sore wa Nai deshou!', 'Yao Jing Zhong Zhi Shou Ce']"
1232,['Photon']
33889,"['Magatsu Wahrheit: Zuerst', 'Soul Eater']"
912,['Naruto']
2090,"['Area 88', 'Majutsushi Orphen']"
35079,"['Majo no Tabitabi', 'Violet Evergarden', 'Mushishi', 'Shoujo Shuumatsu Ryokou', 'Made in Abyss', 'Sousou no Frieren', 'Somali to Mori no Kamisama', 'Gunjou no Magmell', 'Merc Storia: Mukiryoku no Shounen to Bin no Naka no Shoujo', 'Mahoutsukai no Yome', 'Death Parade', 'Appare-Ranman!', 'Mushishi Zoku Shou', 'Howl no Ugoku Shiro', 'Bakuon!!', 'Shuumatsu Train Doko e Iku?', 'Sora yori mo Tooi Basho', 'Ergo Proxy', 'Super Cub', 'Fumetsu no Anata e', 'Trigun Stampede', 'Trigun', 'Ookami to Koushinryou', 'Hakumei to Mikochi', 'Suisei no Gargantia', 'Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita', 'Kuroshitsuji', 'Isekai Shokudou']"
37036,"['Mahou Shoujo Ore', 'Tanaka-kun wa Itsumo Kedaruge']"
3398,['Gakuen Tokusou Hikaruon']
525,"['Mononoke', 'Kurozuka', 'Gasaraki', 'Genji Monogatari Sennenki', 'Legend of Basara', 'Bakumatsu Kikansetsu Irohanihoheto']"
37188,"['Joshikausei', 'Shikioriori', 'Nichijou', 'Getsuyoubi no Tawawa', 'Tonari no Seki-kun']"
1596,"['High Score Girl', 'Byston Well Monogatari: Garzey no Tsubasa', 'Keroro Gunsou', 'Kill la Kill', 'Puni Puni☆Poemii', 'Muteki Kanban Musume']"
33589,"['Higurashi no Naku Koro ni Sotsu', 'Hajime no Ippo']"
42808,['Speed Grapher']
184,"['Subarashiki Kono Sekai The Animation', 'Shinseiki Evangelion', 'Devil Survivor 2 The Animation', 'Bayonetta: Bloody Fate', ""Akiba's Trip The Animation"", 'Cyberpunk: Edgerunners', 'Tsuki to Laika to Nosferatu', 'Fire Emblem', 'School Days', 'Senki Zesshou Symphogear', 'Kiddy Grade', 'Muv-Luv Alternative: Total Eclipse', 'Devil May Cry', 'Jikuu Bouken Nuumamonjaa', 'Divergence Eve']"
6481,['Onegai My Melody']
7081,"['Plawres Sanshirou', 'Metal Fight Beyblade', 'Medarot']"
21185,"['Hajime no Ippo', 'Haikyuu!!', 'Tennis no Oujisama', 'Yowamushi Pedal', 'Ballroom e Youkoso', 'Cross Game', 'Bakuman.', 'Beck', 'Chihayafuru', 'Ookiku Furikabutte', 'Diamond no Ace', 'Hoshiai no Sora', 'Days', 'Shijou Saikyou no Deshi Kenichi', 'Gin no Saji', 'Major S1', 'Ao Ashi', 'Boku no Hero Academia', 'Boku no Hero Academia 2nd Season', 'Giant Killing', 'Ace wo Nerae!', 'Blue Period', 'Blue Lock', 'Slam Dunk', 'Hungry Heart: Wild Striker', 'One Outs', 'Eyeshield 21', 'Sakamichi no Apollon', 'Softenni', 'Tennis no Oujisama: Zenkoku Taikai-hen', 'Suzuka', 'Hanebado!', 'Golden Boy']"
48406,"['Haikyuu!!', 'Bakuten!!', 'Boukyaku Battery (TV)', 'Hoshiai no Sora', 'Free!', 'Kaze ga Tsuyoku Fuiteiru', 'SK∞', 'Yuri!!! on Ice', 'Dive!!', 'Isshuukan Friends.', 'Shakunetsu Kabaddi', ""Ryman's Club"", 'Cheer Danshi!!', 'Tsurune: Kazemai Koukou Kyuudou-bu']"
36565,"['Boruto: Naruto Next Generations', 'Ookiku Furikabutte', 'Hoshiai no Sora', 'Diamond no Ace', 'Mix: Meisei Story', 'Touch', 'Captain Tsubasa (2018)']"
