recId,recommendations,uid
334,'Marmalade Boy',106
338,'Versailles no Bara',1013
338,'Versailles no Bara',1236
338,'Versailles no Bara',3054
338,'Versailles no Bara',3879
339,'Serial Experiments Lain',323
339,'Serial Experiments Lain',2164
339,'Serial Experiments Lain',790
341,'Spiral: Suiri no Kizuna',15651
341,'Spiral: Suiri no Kizuna',12753
343,'Tsukuyomi: Moon Phase',41461
347,'Wild Arms: Twilight Venom',445
348,'Binzume Yousei',39620
348,'Binzume Yousei',303
348,'Binzume Yousei',831
350,'Ojamajo Doremi',2040
350,'Ojamajo Doremi',8503
350,'Ojamajo Doremi',291
350,'Ojamajo Doremi',37225
350,'Ojamajo Doremi',39588
352,'Motto! Ojamajo Doremi',40091
354,'UG☆Ultimate Girls',33021
355,'Shakugan no Shana',25429
355,'Shakugan no Shana',1840
355,'Shakugan no Shana',1727
355,'Shakugan no Shana',5079
355,'Shakugan no Shana',1691
355,'Shakugan no Shana',356
355,'Shakugan no Shana',3712
356,'Fate/stay night',33775
356,'Fate/stay night',169
357,'Bokusatsu Tenshi Dokuro-chan',2457
357,'Bokusatsu Tenshi Dokuro-chan',563
357,'Bokusatsu Tenshi Dokuro-chan',45587
364,'Gallery Fake',9996
373,'Bannou Bunka Neko-Musume',2474
379,'Heppoko Jikken Animation Excel♥Saga',375
379,'Heppoko Jikken Animation Excel♥Saga',1283
381,'Fushigi Yuugi: Dai Ni Bu',2971
381,'Fushigi Yuugi: Dai Ni Bu',4080
383,'Galaxy Angel',293
383,'Galaxy Angel',1884
384,'Gantz',22377
387,'Haibane Renmei',800
387,'Haibane Renmei',273
387,'Haibane Renmei',308
388,'Capeta',6055
388,'Capeta',1393
388,'Capeta',2740
391,'Tales of Phantasia The Animation',1277
391,'Tales of Phantasia The Animation',1731
392,'Yuu☆Yuu☆Hakusho',129
392,'Yuu☆Yuu☆Hakusho',2462
392,'Yuu☆Yuu☆Hakusho',6033
400,'Seihou Bukyou Outlaw Star',1944
400,'Seihou Bukyou Outlaw Star',1184
404,'Bastard!! Ankoku no Hakaishin',2023
412,'Kore ga Watashi no Goshujinsama',797
412,'Kore ga Watashi no Goshujinsama',403
417,'Ragnarök The Animation',8
421,'Stratos 4',1942
424,'Dirty Pair',1577
424,'Dirty Pair',2933
426,'Final Fantasy',3461
435,'Magic Knight Rayearth',535
435,'Magic Knight Rayearth',207
440,'Shoujo Kakumei Utena',795
440,'Shoujo Kakumei Utena',10721
440,'Shoujo Kakumei Utena',879
440,'Shoujo Kakumei Utena',347
440,'Shoujo Kakumei Utena',338
447,'Weiß Kreuz',2683
455,'Fantastic Children',526
456,'Gokujou Seitokai',1591
457,'Mushishi',1520
457,'Mushishi',42822
457,'Mushishi',2246
457,'Mushishi',6864
457,'Mushishi',486
457,'Mushishi',1483
457,'Mushishi',11665
457,'Mushishi',2213
457,'Mushishi',51145
457,'Mushishi',10379
457,'Mushishi',1589
457,'Mushishi',5300
457,'Mushishi',3710
457,'Mushishi',41224
458,'Buttobi!! CPU',1701
467,'Koukaku Kidoutai: Stand Alone Complex',1500
467,'Koukaku Kidoutai: Stand Alone Complex',1152
469,'Karin',343
472,'To Heart',2595
474,'Macross Plus',84
474,'Macross Plus',1488
474,'Macross Plus',3154
477,'Aria the Animation',2942
477,'Aria the Animation',10232
477,'Aria the Animation',9938
477,'Aria the Animation',472
477,'Aria the Animation',53128
477,'Aria the Animation',975
477,'Aria the Animation',799
477,'Aria the Animation',31771
477,'Aria the Animation',9055
478,'Sousei no Aquarion',833
478,'Sousei no Aquarion',1693
479,'Ueki no Housoku',738
481,'Yu☆Gi☆Oh! Duel Monsters',19291
481,'Yu☆Gi☆Oh! Duel Monsters',5082
481,'Yu☆Gi☆Oh! Duel Monsters',9539
481,'Yu☆Gi☆Oh! Duel Monsters',288
482,'Yu☆Gi☆Oh! Duel Monsters GX',1564
482,'Yu☆Gi☆Oh! Duel Monsters GX',21729
486,'Kino no Tabi: The Beautiful World',1491
486,'Kino no Tabi: The Beautiful World',107
486,'Kino no Tabi: The Beautiful World',944
486,'Kino no Tabi: The Beautiful World',3701
487,'Girls Bravo: Second Season',1046
489,'Kamichu!',15731
489,'Kamichu!',1524
490,'Paniponi Dash!',1546
490,'Paniponi Dash!',533
501,'Doraemon',5223
521,'Mermaid Melody Pichi Pichi Pitch',44191
527,'Pokemon',2281
527,'Pokemon',1138
527,'Pokemon',21013
527,'Pokemon',2156
527,'Pokemon',3271
527,'Pokemon',3576
527,'Pokemon',32772
527,'Pokemon',2619
527,'Pokemon',1872
527,'Pokemon',6008
527,'Pokemon',4083
529,'Saishuu Heiki Kanojo',1156
529,'Saishuu Heiki Kanojo',358
529,'Saishuu Heiki Kanojo',29876
530,'Bishoujo Senshi Sailor Moon',1533
530,'Bishoujo Senshi Sailor Moon',2557
530,'Bishoujo Senshi Sailor Moon',2522
530,'Bishoujo Senshi Sailor Moon',100
530,'Bishoujo Senshi Sailor Moon',1221
530,'Bishoujo Senshi Sailor Moon',1110
530,'Bishoujo Senshi Sailor Moon',687
530,'Bishoujo Senshi Sailor Moon',5684
534,'Slayers',1161
534,'Slayers',1164
534,'Slayers',1806
534,'Slayers',1017
534,'Slayers',870
535,'Slayers Next',630
539,'Tenchi Muyou! Ryououki',117
540,'Tenchi Muyou! Ryououki 2nd Season',3593
550,'Yu☆Gi☆Oh!',9981
552,'Digimon Adventure',1469
552,'Digimon Adventure',31427
552,'Digimon Adventure',527
553,'Yami no Matsuei',1043
563,'DNA²',2737
564,'Puni Puni☆Poemii',615
567,'The Big O',2704
567,'The Big O',1067
568,'Bubblegum Crisis Tokyo 2040',2364
569,'Musekinin Kanchou Tylor',218
573,'Saber Marionette J',554
579,'Battle Programmer Shirase',458
580,'Kogepan',23539
584,'Noein: Mou Hitori no Kimi e',5074
584,'Noein: Mou Hitori no Kimi e',295
584,'Noein: Mou Hitori no Kimi e',969
589,'Ginga Nagareboshi Gin',1000
589,'Ginga Nagareboshi Gin',1572
589,'Ginga Nagareboshi Gin',6868
589,'Ginga Nagareboshi Gin',5267
589,'Ginga Nagareboshi Gin',1537
593,'Mugen no Ryvius',1088
593,'Mugen no Ryvius',909
593,'Mugen no Ryvius',342
598,'Jinzou Ningen Kikaider The Animation',3444
603,'Futari wa Precure',2252
603,'Futari wa Precure',1929
603,'Futari wa Precure',48343
604,'Mahou no Stage Fancy Lala',3660
604,'Mahou no Stage Fancy Lala',2038
605,'Tenshi ni Narumon!',1284
614,'Okusama wa Mahou Shoujo',1128
615,'Nurse Witch Komugi-chan Magikarte',982
615,'Nurse Witch Komugi-chan Magikarte',1918
615,'Nurse Witch Komugi-chan Magikarte',1865
620,'Takahashi Rumiko Gekijou Ningyo no Mori',1371
622,'Natsu-iro no Sunadokei',661
622,'Natsu-iro no Sunadokei',510
622,'Natsu-iro no Sunadokei',648
627,'Major S1',4062
633,'Legend of Basara',30736
634,'Koi Kaze',4451
658,'Touhai Densetsu Akagi: Yami ni Maiorita Tensai',5151
677,'Sentimental Journey',148
682,'Otogi Story Tenshi no Shippo',836
687,'Tokyo Mew Mew',12191
687,'Tokyo Mew Mew',1932
687,'Tokyo Mew Mew',40610
687,'Tokyo Mew Mew',34290
687,'Tokyo Mew Mew',530
687,'Tokyo Mew Mew',521
687,'Tokyo Mew Mew',3692
687,'Tokyo Mew Mew',1711
688,'Uta∽Kata',6129
690,'Kyuuketsuhime Miyu (TV)',1594
691,'Yawara!',913
709,'Mujin Wakusei Survive',2487
709,'Mujin Wakusei Survive',39198
709,'Mujin Wakusei Survive',2913
710,'Rec',275
710,'Rec',5690
710,'Rec',8876
710,'Rec',1070
719,'Ai no Kusabi',9761
719,'Ai no Kusabi',2238
721,'Princess Tutu',327
721,'Princess Tutu',1946
721,'Princess Tutu',629
721,'Princess Tutu',31733
721,'Princess Tutu',49304
738,'MÄR',2330
746,'Papa to Kiss in the Dark',3375
747,'Haru wo Daite Ita',37597
750,'Binchou-tan',35235
750,'Binchou-tan',31143
776,'Nanaka 6/17',1786
777,'Hellsing Ultimate',31339
777,'Hellsing Ultimate',1148
788,'Eiken: Eikenbu yori Ai wo Komete',32698
789,'Shinigami no Ballad.',1300
790,'Ergo Proxy',26
790,'Ergo Proxy',5039
790,'Ergo Proxy',202
798,'Yomigaeru Sora: Rescue Wings',53848
798,'Yomigaeru Sora: Rescue Wings',36884
813,'Dragon Ball Z',54789
813,'Dragon Ball Z',2142
820,'Ginga Eiyuu Densetsu',85
820,'Ginga Eiyuu Densetsu',6229
820,'Ginga Eiyuu Densetsu',1563
820,'Ginga Eiyuu Densetsu',12487
820,'Ginga Eiyuu Densetsu',973
820,'Ginga Eiyuu Densetsu',1762
820,'Ginga Eiyuu Densetsu',4066
833,'Choujuushin Gravion',1975
836,'Sister Princess',682
837,'Kyou no 5 no 2',3121
841,'Colorful',25635
841,'Colorful',637
841,'Colorful',5132
845,'Kiba',2031
849,'Suzumiya Haruhi no Yuuutsu',3654
849,'Suzumiya Haruhi no Yuuutsu',3958
849,'Suzumiya Haruhi no Yuuutsu',11761
850,'Gakuen Heaven',1909
850,'Gakuen Heaven',1912
851,'Kyou kara Ore wa!!',1913
851,'Kyou kara Ore wa!!',4211
851,'Kyou kara Ore wa!!',5353
852,'Gokinjo Monogatari',1728
853,'Ouran Koukou Host Club',907
853,'Ouran Koukou Host Club',5060
853,'Ouran Koukou Host Club',1813
853,'Ouran Koukou Host Club',120
853,'Ouran Koukou Host Club',40752
853,'Ouran Koukou Host Club',200
853,'Ouran Koukou Host Club',19257
853,'Ouran Koukou Host Club',30205
853,'Ouran Koukou Host Club',1562
853,'Ouran Koukou Host Club',34262
853,'Ouran Koukou Host Club',32175
853,'Ouran Koukou Host Club',2748
853,'Ouran Koukou Host Club',22835
853,'Ouran Koukou Host Club',32899
853,'Ouran Koukou Host Club',23289
855,'Strawberry Panic',158
855,'Strawberry Panic',25649
855,'Strawberry Panic',667
856,'Utawarerumono',3594
856,'Utawarerumono',206
857,'Air Gear',3270
857,'Air Gear',28391
861,'xxxHOLiC',326
864,'Kidou Senshi Gundam SEED MSV Astray',35567
876,'Street Fighter II V',961
876,'Street Fighter II V',426
876,'Street Fighter II V',1952
877,'Nana',322
877,'Nana',57
877,'Nana',37435
877,'Nana',1021
878,'Zegapain',296
878,'Zegapain',40192
879,'Simoun',1444
889,'Black Lagoon',12413
889,'Black Lagoon',40052
889,'Black Lagoon',650
889,'Black Lagoon',5356
889,'Black Lagoon',25183
889,'Black Lagoon',222
890,'Yuusha-Ou GaoGaiGar',2803
890,'Yuusha-Ou GaoGaiGar',5075
907,'Princess Princess',1532
915,'Ginga Densetsu Weed',3182
916,'Tokkou',3614
918,'Gintama',1050
918,'Gintama',9834
918,'Gintama',13535
918,'Gintama',20431
918,'Gintama',41833
918,'Gintama',4872
918,'Gintama',2026
918,'Gintama',31174
918,'Gintama',9074
918,'Gintama',9863
918,'Gintama',7247
918,'Gintama',42111
918,'Gintama',8687
918,'Gintama',45556
918,'Gintama',36148
918,'Gintama',23037
930,'Densetsu Kyojin Ideon',2200
933,'Dai Mahou Touge',357
933,'Dai Mahou Touge',824
934,'Higurashi no Naku Koro ni',11111
934,'Higurashi no Naku Koro ni',2596
934,'Higurashi no Naku Koro ni',4896
934,'Higurashi no Naku Koro ni',4975
934,'Higurashi no Naku Koro ni',5177
934,'Higurashi no Naku Koro ni',7724
934,'Higurashi no Naku Koro ni',7079
934,'Higurashi no Naku Koro ni',4382
935,'Witchblade',53199
944,'The Third: Aoi Hitomi no Shoujo',1189
949,'Top wo Nerae! Gunbuster',2310
949,'Top wo Nerae! Gunbuster',2516
949,'Top wo Nerae! Gunbuster',311
951,'Chibi Maruko-chan',2406
961,'Virtua Fighter',2083
964,'Hit wo Nerae!',765
966,'Crayon Shin-chan',2075
966,'Crayon Shin-chan',5830
967,'Hokuto no Ken',2903
967,'Hokuto no Ken',589
967,'Hokuto no Ken',44388
967,'Hokuto no Ken',4427
978,'Change!! Getter Robo: Sekai Saigo no Hi',8666
978,'Change!! Getter Robo: Sekai Saigo no Hi',1064
978,'Change!! Getter Robo: Sekai Saigo no Hi',9241
992,'Dual! Parallel Lun-Lun Monogatari',1133
996,'Bishoujo Senshi Sailor Moon: Sailor Stars',16419
1000,'Uchuu Kaizoku Captain Herlock',1651
1016,'Gunnm',1079
1016,'Gunnm',1598
1017,'Majutsushi Orphen',495
1019,'Honoo no Mirage',1026
1046,'Elf wo Karu Mono-tachi II',131
1060,'Oruchuban Ebichu',5983
1066,'Shakugan no Shana-tan',5955
1079,'Armitage III',1443
1080,'Sentou Yousei Yukikaze',284
1081,'Space Pirate Captain Herlock: Outside Legend - The Endless Odyssey',1676
1087,'Kimagure Orange☆Road',55690
1087,'Kimagure Orange☆Road',1804
1097,'Lime-iro Senkitan',40403
1108,'Senkaiden Houshin Engi',39355
1126,'Figure 17: Tsubasa & Hikaru',2964
1127,'UFO Princess Valkyrie',1683
1132,'Digimon Frontier',1137
1138,'Medarot',271
1151,'Dominion',1288
1158,'Geobreeders: File-X Chibi Neko Dakkan',1180
1163,'Neo Ranga',1899
1163,'Neo Ranga',1947
1175,'Metal Fighter Miku',2465
1177,'Alien 9',838
1178,'Detonator Orgun',1459
1180,'Hyper Police',1158
1181,'Hikyou Tanken Fam & Ihrlie',3065
1184,'Lost Universe',1823
1186,'Battle Athletess Daiundoukai (TV)',50999
1195,'Zero no Tsukaima',9736
1195,'Zero no Tsukaima',2787
1195,'Zero no Tsukaima',11783
1195,'Zero no Tsukaima',10155
1195,'Zero no Tsukaima',21033
1195,'Zero no Tsukaima',51213
1195,'Zero no Tsukaima',1807
1195,'Zero no Tsukaima',4224
1195,'Zero no Tsukaima',22877
1195,'Zero no Tsukaima',355
1210,'NHK ni Youkoso!',2605
1210,'NHK ni Youkoso!',785
1210,'NHK ni Youkoso!',240
1210,'NHK ni Youkoso!',16742
1210,'NHK ni Youkoso!',10020
1210,'NHK ni Youkoso!',329
1212,'Oban Star-Racers',5129
1221,'Demashita! Powerpuff Girls Z',5027
1222,'Bokura ga Ita',40417
1222,'Bokura ga Ita',325
1227,'Shuten Douji',1966
1233,'Aozora Shoujo-tai',1289
1243,'Night Head Genesis',1508
1247,'Project BLUE Chikyuu SOS',1544
1251,'Fushigi no Umi no Nadia',95
1251,'Fushigi no Umi no Nadia',1582
1254,'Saint Seiya',1264
1254,'Saint Seiya',23
1254,'Saint Seiya',4855
1261,'Kyattou Ninden Teyandee',9028
1276,'Ys',1150
1279,'Taiyou no Ko Esteban',2819
1281,'Gakkou no Kaidan',9345
1281,'Gakkou no Kaidan',2012
1281,'Gakkou no Kaidan',21851
1281,'Gakkou no Kaidan',6980
1283,'Choujuu Densetsu Gestalt',1005
1288,'Kidou Keisatsu Patlabor',1151
1289,'Kidou Keisatsu Patlabor: New OVA',1233
1293,'Urusei Yatsura',3332
1293,'Urusei Yatsura',3136
1312,'Chikyuu Bouei Kigyou Dai-Guard',324
1313,'Digimon Adventure 02',4197
1313,'Digimon Adventure 02',1565
1324,'Earthian',1640
1325,'Hamelin no Violin Hiki',1628
1325,'Hamelin no Violin Hiki',2785
1333,'Fushigi na Koala Blinky',3723
1337,'Dororon Enma-kun',24471
1337,'Dororon Enma-kun',24663
1346,'AD Police',769
1347,'Bubblegum Crisis',2064
1347,'Bubblegum Crisis',1935
1352,'Cyber City Oedo 808',1350
1372,'Taiho Shichau zo (TV)',2059
1374,'Kyoushoku Soukou Guyver (2005)',11837
1374,'Kyoushoku Soukou Guyver (2005)',1465
1391,'Future GPX Cyber Formula',1445
1391,'Future GPX Cyber Formula',3571
1412,'Lupin III',3313
1412,'Lupin III',4240
