uid,titles,genre,aired,episodes,members,popularity,ranked,score,url
59,"['Chobits', 'ちょびっツ', 'Chobits']","['Comedy', 'Drama', 'Romance', 'Sci-Fi', 'Ecchi']",2002-04-03 - 2002-09-25,26,491776,474,2331,7.39,https://myanimelist.net/anime/59/Chobits
60,"['Chrno Crusade', 'Chrono Crusade: Mary Magdalene', 'クロノクルセイド', 'Chrono Crusade', 'Chrono Crusade', 'Chrono Crusade', 'Chrono Crusade']","['Action', 'Romance', 'Supernatural']",2003-11-25 - 2004-06-10,24,229713,1099,1535,7.6,https://myanimelist.net/anime/60/Chrno_Crusade
61,"['D.N.Angel', 'DN Angel', 'DNAngel', 'Ｄ・Ｎ・ＡＮＧＥＬ', 'D.N.Angel']","['Action', 'Comedy', 'Fantasy', 'Romance']",2003-04-03 - 2003-09-25,26,187085,1323,3512,7.16,https://myanimelist.net/anime/61/DNAngel
62,"['D.C.: Da Capo', 'D.C.～ダ・カーポ～', 'D.C.~Da Capo~']","['Drama', 'Romance']",2003-07-05 - 2003-12-27,26,77237,2532,5710,6.71,https://myanimelist.net/anime/62/DC__Da_Capo
63,"['DearS', 'ディアーズ', 'DearS']","['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",2004-07-11 - 2004-09-26,12,151188,1592,6613,6.55,https://myanimelist.net/anime/63/DearS
64,"['Rozen Maiden', 'ローゼンメイデン', 'Rozen Maiden']","['Action', 'Comedy', 'Drama', 'Fantasy']",2004-10-08 - 2004-12-24,12,209007,1201,2294,7.4,https://myanimelist.net/anime/64/Rozen_Maiden
65,"['Rozen Maiden: Träumend', 'Rozen Maiden 2', 'ローゼンメイデン トロイメント', 'Rozen Maiden: Träumend']","['Action', 'Comedy', 'Drama', 'Fantasy']",2005-10-21 - 2006-01-27,12,107133,2065,1529,7.61,https://myanimelist.net/anime/65/Rozen_Maiden__Träumend
66,"['Azumanga Daiou The Animation', 'Azumanga Daiou', 'あずまんが大王 THE ANIMATION', 'Azumanga Daioh: The Animation']",['Comedy'],2002-04-09 - 2002-10-01,26,378568,645,586,8.04,https://myanimelist.net/anime/66/Azumanga_Daiou_The_Animation
67,"['Basilisk: Kouga Ninpou Chou', 'Basilisk: Koga Nimpo Cho', 'Basilisk: The Kouga Ninja Scrolls', 'バジリスク 甲賀忍法帖', 'Basilisk', 'Basilisk: Chronik der Koga-Ninja', 'Basilisk', 'Basilisk: The Kôga Ninja Scrolls']","['Action', 'Drama', 'Romance']",2005-04-13 - 2005-09-21,24,193086,1290,1768,7.53,https://myanimelist.net/anime/67/Basilisk__Kouga_Ninpou_Chou
68,"['Black Cat (TV)', 'ブラックキャット', 'Black Cat', 'Black Cat', 'Black Cat', 'Black Cat']","['Action', 'Adventure', 'Sci-Fi']",2005-10-07 - 2006-03-31,23,274190,920,2645,7.32,https://myanimelist.net/anime/68/Black_Cat_TV
69,"['Cluster Edge', 'CLUSTER EDGE（クラスターエッジ）']","['Action', 'Fantasy', 'Sci-Fi']",2005-10-05 - 2006-03-29,25,11395,6247,8096,6.3,https://myanimelist.net/anime/69/Cluster_Edge
71,"['Full Metal Panic!', 'FMP', 'Fullmetal Panic!', 'フルメタル・パニック！', 'Full Metal Panic!']","['Action', 'Comedy', 'Sci-Fi']",2002-01-08 - 2002-06-18,24,506299,455,1562,7.59,https://myanimelist.net/anime/71/Full_Metal_Panic
72,"['Full Metal Panic? Fumoffu', 'Full Metal Panic Fumoffu', 'Fullmetal Panic? Fumoffu', 'フルメタル・パニック? ふもっふ', 'Full Metal Panic? Fumoffu']","['Action', 'Comedy']",2003-08-26 - 2003-11-18,12,300836,849,615,8.02,https://myanimelist.net/anime/72/Full_Metal_Panic_Fumoffu
73,"['Full Metal Panic! The Second Raid', 'Full Metal Panic! TSR', 'フルメタル パニック！The Second Raid', 'Full Metal Panic! The Second Raid']",['Action'],2005-07-14 - 2005-10-20,13,264468,951,784,7.91,https://myanimelist.net/anime/73/Full_Metal_Panic_The_Second_Raid
74,"['Gakuen Alice', 'Campus Alice', 'Alice Academy', '学園アリス', 'Gakuen Alice', 'Alice Academy']","['Comedy', 'Fantasy']",2004-10-30 - 2005-05-14,26,102228,2129,1411,7.64,https://myanimelist.net/anime/74/Gakuen_Alice
75,"['Soukyuu no Fafner: Dead Aggressor', 'Fafner in the Azure: Dead Aggressor', '蒼穹のファフナーDead Aggressor', 'Fafner']","['Action', 'Drama', 'Sci-Fi']",2004-07-05 - 2004-12-27,25,50014,3224,3002,7.26,https://myanimelist.net/anime/75/Soukyuu_no_Fafner__Dead_Aggressor
76,"['Mahou Shoujo Lyrical Nanoha', 'Mahou Shoujo Lyrical Nanoha', '魔法少女リリカルなのは', 'Magical Girl Lyrical Nanoha']","['Action', 'Comedy', 'Drama', 'Fantasy']",2004-10-03 - 2004-12-26,13,105999,2078,2264,7.41,https://myanimelist.net/anime/76/Mahou_Shoujo_Lyrical_Nanoha
77,"[""Mahou Shoujo Lyrical Nanoha A's"", ""Mahou Shoujo Lyrical Nanoha A's"", 'Nanoha Season 2', '魔法少女リリカルなのは エース', ""Magical Girl Lyrical Nanoha A's""]","['Action', 'Comedy', 'Drama', 'Fantasy']",2005-10-02 - 2005-12-25,13,66558,2773,695,7.96,https://myanimelist.net/anime/77/Mahou_Shoujo_Lyrical_Nanoha_As
79,"['Shuffle!', 'SHUFFLE! (シャッフル!)', 'Shuffle!']","['Comedy', 'Drama', 'Fantasy', 'Romance', 'Ecchi']",2005-07-08 - 2006-01-06,24,282779,898,4231,7.01,https://myanimelist.net/anime/79/Shuffle
80,"['Kidou Senshi Gundam', 'First Gundam', 'Mobile Suit Gundam: 0079', 'MSG', '機動戦士ガンダム', 'Mobile Suit Gundam']","['Action', 'Drama', 'Sci-Fi']",1979-04-07 - 1980-01-26,43,137739,1709,1128,7.75,https://myanimelist.net/anime/80/Kidou_Senshi_Gundam
81,"['Kidou Senshi Gundam: Dai 08 MS Shoutai', 'Kidou Senshi Gundam: Dai 08 MS Shotai', '機動戦士ガンダム 第08MS小隊', 'Mobile Suit Gundam: The 08th MS Team']","['Action', 'Adventure', 'Drama', 'Romance', 'Sci-Fi']",1996-01-25 - 1999-07-25,12,86813,2350,639,8,https://myanimelist.net/anime/81/Kidou_Senshi_Gundam__Dai_08_MS_Shoutai
82,"['Kidou Senshi Gundam 0080: Pocket no Naka no Sensou', '機動戦士ガンダム 0080 ポケットの中の戦争', 'Mobile Suit Gundam 0080: War in the Pocket']","['Action', 'Drama', 'Sci-Fi']",1989-03-25 - 1989-08-25,6,63253,2852,673,7.98,https://myanimelist.net/anime/82/Kidou_Senshi_Gundam_0080__Pocket_no_Naka_no_Sensou
84,"['Kidou Senshi Gundam 0083: Stardust Memory', 'Gundam 0083', '機動戦士ガンダム0083 STARDUST MEMORY', 'Mobile Suit Gundam 0083: Stardust Memory']","['Action', 'Adventure', 'Drama', 'Romance', 'Sci-Fi']",1991-05-23 - 1992-09-24,13,47102,3325,3194,7.22,https://myanimelist.net/anime/84/Kidou_Senshi_Gundam_0083__Stardust_Memory
85,"['Kidou Senshi Zeta Gundam', 'Kidou Senshi Z Gundam', 'Mobile Suit Z Gundam', '機動戦士Ζガンダム', 'Mobile Suit Zeta Gundam']","['Action', 'Drama', 'Romance', 'Sci-Fi']",1985-03-02 - 1986-02-22,50,78318,2513,826,7.89,https://myanimelist.net/anime/85/Kidou_Senshi_Zeta_Gundam
86,"['Kidou Senshi Gundam ZZ', 'Kidou Senshi Gundam Double Zeta', 'Mobile Suit Gundam Double Zeta', '機動戦士ガンダムZZ', 'Mobile Suit Gundam ZZ']","['Action', 'Comedy', 'Drama', 'Sci-Fi']",1986-03-01 - 1987-01-31,47,45555,3398,6066,6.65,https://myanimelist.net/anime/86/Kidou_Senshi_Gundam_ZZ
89,"['Kidou Senshi Victory Gundam', 'Kidou Senshi Victory Gundam', '機動戦士Vガンダム', 'Mobile Suit Victory Gundam']","['Action', 'Drama', 'Sci-Fi']",1993-04-02 - 1994-03-25,51,29410,4225,5687,6.71,https://myanimelist.net/anime/89/Kidou_Senshi_Victory_Gundam
90,"['Shin Kidou Senki Gundam Wing', 'New Mobile Report Gundam Wing', '新機動戦記ガンダムW', 'Mobile Suit Gundam Wing']","['Action', 'Drama', 'Sci-Fi']",1995-04-07 - 1996-03-29,49,163390,1496,1322,7.67,https://myanimelist.net/anime/90/Shin_Kidou_Senki_Gundam_Wing
91,"['Shin Kidou Senki Gundam Wing: Endless Waltz', 'Gundam Wing Endless Waltz OVA', '新機動戦記ガンダムW エンドレス・ワルツ', 'Mobile Suit Gundam Wing: Endless Waltz']","['Action', 'Award Winning', 'Drama', 'Sci-Fi']",1997-01-25 - 1997-07-25,3,49490,3244,1172,7.73,https://myanimelist.net/anime/91/Shin_Kidou_Senki_Gundam_Wing__Endless_Waltz
92,"['Kidou Shinseiki Gundam X', 'After War Gundam X', 'Mobile New Century Gundam X', '機動新世紀ガンダムX', 'After War Gundam X']","['Action', 'Adventure', 'Drama', 'Sci-Fi']",1996-04-05 - 1996-12-28,39,37682,3766,2584,7.33,https://myanimelist.net/anime/92/Kidou_Shinseiki_Gundam_X
93,"['Kidou Senshi Gundam SEED', 'Kidou Senshi Gundam SEED', '機動戦士ガンダムSEED', 'Mobile Suit Gundam SEED', 'Mobile Suit Gundam Seed', 'Mobile Suit Gundam Seed', 'Mobile Suit Gundam Seed']","['Action', 'Award Winning', 'Drama', 'Romance', 'Sci-Fi']",2002-10-05 - 2003-09-27,50,175331,1398,1161,7.74,https://myanimelist.net/anime/93/Kidou_Senshi_Gundam_SEED
94,"['Kidou Senshi Gundam SEED Destiny', 'Kidou Senshi Gundam SEED DESTINY', '機動戦士ガンダムSEED DESTINY', 'Mobile Suit Gundam SEED Destiny', 'Mobile Suit Gundam Seed Destiny', 'Mobile Suit Gundam Seed Destiny', 'Mobile Suit Gundam Seed Destiny']","['Action', 'Drama', 'Romance', 'Sci-Fi']",2004-10-09 - 2005-10-01,50,111166,2015,3445,7.17,https://myanimelist.net/anime/94/Kidou_Senshi_Gundam_SEED_Destiny
95,"['Turn A Gundam', 'Mobile Suit Gundam Turn A', '∀ガンダム', '∀ Gundam']","['Action', 'Adventure', 'Award Winning', 'Drama', 'Romance', 'Sci-Fi']",1999-04-09 - 2000-04-14,50,50653,3200,1087,7.77,https://myanimelist.net/anime/95/Turn_A_Gundam
96,"['Kidou Butouden G Gundam', 'Mobile Fighter G-Gundam', '機動武闘伝Gガンダム', 'Mobile Fighter G Gundam']","['Action', 'Drama', 'Romance', 'Sci-Fi']",1994-04-01 - 1995-03-31,49,71413,2666,1587,7.58,https://myanimelist.net/anime/96/Kidou_Butouden_G_Gundam
97,"['Last Exile', 'LAST EXILE（ラストエグザイル）', 'Last Exile']","['Action', 'Adventure', 'Sci-Fi']",2003-04-08 - 2003-09-30,26,178127,1384,1063,7.78,https://myanimelist.net/anime/97/Last_Exile
98,"['Mai-HiME', 'My Princess', '舞-HiME', 'My-Hime', 'My-Hime', 'My-Hime']","['Action', 'Fantasy', 'Girls Love']",2004-10-01 - 2005-04-01,26,117623,1931,2280,7.4,https://myanimelist.net/anime/98/Mai-HiME
99,"['Mai-Otome', 'Mai Oto-Hime', 'Mai-OtoHiME', 'Dancing Maiden', '舞-乙HiME', 'My-Otome']","['Comedy', 'Drama', 'Fantasy']",2005-10-07 - 2006-03-31,26,52446,3149,2926,7.27,https://myanimelist.net/anime/99/Mai-Otome
100,"['Shin Shirayuki-hime Densetsu Prétear', 'Shin Shirayuki-hime Densetsu Pretear', '新白雪姫伝説プリーティア', 'Prétear: The New Legend of Snow White', 'Prétear']","['Drama', 'Fantasy', 'Romance']",2001-04-04 - 2001-06-27,13,65693,2788,3492,7.16,https://myanimelist.net/anime/100/Shin_Shirayuki-hime_Densetsu_Prétear
101,"['Air', 'AIR', 'Air']","['Drama', 'Romance', 'Supernatural']",2005-01-07 - 2005-03-25,12,302152,841,2894,7.27,https://myanimelist.net/anime/101/Air
102,"['Aishiteruze Baby★★', 'Aishiteru ze Baby', 'Love You Baby', 'Babe', 'My Love', 'I Love You', 'Baby', '愛してるぜ ベイベ★★', 'Babe My Love']","['Comedy', 'Drama', 'Romance']",2004-04-03 - 2004-10-09,26,104650,2091,2131,7.44,https://myanimelist.net/anime/102/Aishiteruze_Baby★★
103,"['Akazukin Chacha', '赤ずきんチャチャ', 'Red Riding Hood Chacha']","['Adventure', 'Comedy', 'Fantasy', 'Romance']",1994-01-07 - 1995-06-30,74,16768,5373,2310,7.4,https://myanimelist.net/anime/103/Akazukin_Chacha
104,"['Ayashi no Ceres', '妖しのセレス', 'Ceres, Celestial Legend', 'Ceres, Celestial Legend', 'Ceres: La Leyenda Celestial']","['Adventure', 'Drama', 'Horror', 'Romance', 'Supernatural']",2000-04-20 - 2000-09-28,24,63646,2842,3377,7.18,https://myanimelist.net/anime/104/Ayashi_no_Ceres
105,"['Boys Be...', 'ボーイズ・ビー', 'Boys Be...']","['Comedy', 'Romance']",2000-04-11 - 2000-07-04,13,24401,4614,7574,6.39,https://myanimelist.net/anime/105/Boys_Be
106,"['Hana yori Dango', 'Boys Over Flowers', 'HYD', '花より男子', 'Hana Yori Dango', 'Hana Yori Dango', 'Hana Yori Dango']","['Drama', 'Romance']",1996-09-08 - 1997-08-31,51,63747,2840,1602,7.58,https://myanimelist.net/anime/106/Hana_yori_Dango
107,"['Ou Dorobou Jing', 'King of Bandit Jing', '王ドロボウ JING', 'Jing: King of Bandits', 'King of Bandit Jing', 'King of Bandit Jing']","['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",2002-05-15 - 2002-08-14,13,38785,3710,3408,7.18,https://myanimelist.net/anime/107/Ou_Dorobou_Jing
108,"['Ou Dorobou Jing in Seventh Heaven', '王ドロボウ JING in Seventh Heaven', 'Jing: King of Bandits - Seventh Heaven']","['Adventure', 'Comedy', 'Fantasy']",2004-01-21 - 2004-04-28,3,13309,5891,3084,7.24,https://myanimelist.net/anime/108/Ou_Dorobou_Jing_in_Seventh_Heaven
109,"['Bakuretsu Tenshi', 'Bakuretsu Tenshi', '爆裂天使', 'Burst Angel', 'Burst Angel']","['Action', 'Adventure', 'Sci-Fi']",2004-04-07 - 2004-09-15,24,72729,2628,5318,6.78,https://myanimelist.net/anime/109/Bakuretsu_Tenshi
110,"['Chuuka Ichiban!', 'Cooking Master Boy', '中華一番']","['Action', 'Comedy', 'Drama', 'Gourmet']",1997-04-27 - 1998-09-13,52,20595,4975,1561,7.59,https://myanimelist.net/anime/110/Chuuka_Ichiban
111,"['Corrector Yui', 'Collector Yui', 'コレクター・ユイ', 'Corrector Yui']","['Adventure', 'Comedy', 'Sci-Fi']",1999-04-09 - 2000-10-20,52,17757,5258,4944,6.86,https://myanimelist.net/anime/111/Corrector_Yui
112,"['Chou Henshin Cosprayers', 'Super Transformation Cosprayers', '超変身コス∞プレイヤー', 'The Cosmopolitan Prayers']","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Ecchi']",2004-01-13 - 2004-03-02,8,9301,6811,13075,4.83,https://myanimelist.net/anime/112/Chou_Henshin_Cosprayers
113,"['Uchuu no Stellvia', 'Stellvia of the Universe', '宇宙のステルヴィア', 'Stellvia']","['Action', 'Romance', 'Sci-Fi']",2003-04-03 - 2003-09-25,26,25685,4505,2608,7.33,https://myanimelist.net/anime/113/Uchuu_no_Stellvia
114,"['Sakigake!! Cromartie Koukou', 'Sakigake!! Cromartie Koukou', '魁!! クロマティ高校', 'Cromartie High School']",['Comedy'],2003-10-03 - 2004-03-26,26,142647,1668,825,7.89,https://myanimelist.net/anime/114/Sakigake_Cromartie_Koukou
115,"['Ijigen no Sekai El-Hazard', 'Ijigen no Sekai El Hazard', '異次元の世界エルハザード', 'El Hazard: The Alternative World', 'El Hazard: Les Mondes Alternatifs']","['Adventure', 'Comedy', 'Fantasy']",1998-01-08 - 1998-03-26,13,12439,6038,5340,6.78,https://myanimelist.net/anime/115/Ijigen_no_Sekai_El-Hazard
116,"['Shinpi no Sekai El-Hazard (TV)', 'Shinpi no Sekai El-Hazard', 'El-Hazard: The Magnificent World (TV)', '神秘の世界エルハザード', 'El-Hazard: The Wanderers']","['Adventure', 'Comedy', 'Fantasy', 'Romance']",1995-10-06 - 1996-03-29,26,18970,5127,4565,6.93,https://myanimelist.net/anime/116/Shinpi_no_Sekai_El-Hazard_TV
117,"['Shinpi no Sekai El-Hazard', 'Shinpi no Sekai Eru Hazaado,', '神秘の世界エルハザード', 'El Hazard: The Magnificent World', 'El Hazard: Le Monde Magnifique']","['Adventure', 'Comedy', 'Fantasy', 'Romance']",1995-05-26 - 1996-01-25,7,20806,4946,3011,7.25,https://myanimelist.net/anime/117/Shinpi_no_Sekai_El-Hazard
118,"['Shinpi no Sekai El-Hazard Season 2', '神秘の世界 エルハザード 第2期', 'El Hazard 2: The Magnificent World']","['Adventure', 'Comedy', 'Fantasy']",1997-03-21 - 1997-10-25,4,9870,6650,5359,6.77,https://myanimelist.net/anime/118/Shinpi_no_Sekai_El-Hazard_Season_2
119,"['Final Approach', 'φなる・あぷろーち']","['Comedy', 'Drama', 'Romance']",2004-10-03 - 2004-12-26,13,36434,3821,6947,6.5,https://myanimelist.net/anime/119/Final_Approach
120,"['Fruits Basket', 'Furuba', 'フルーツバスケット', 'Fruits Basket']","['Drama', 'Romance', 'Supernatural']",2001-07-05 - 2001-12-27,26,547405,421,1293,7.69,https://myanimelist.net/anime/120/Fruits_Basket
121,"['Fullmetal Alchemist', 'Hagane no Renkinjutsushi', 'FMA', 'Full Metal Alchemist', '鋼の錬金術師', 'Fullmetal Alchemist']","['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy']",2003-10-04 - 2004-10-02,51,1492774,83,499,8.11,https://myanimelist.net/anime/121/Fullmetal_Alchemist
122,"['Full Moon wo Sagashite', 'Full Moon o Sagashite', 'Mangetsu wo Sagashite', '満月をさがして', 'Searching for the Full Moon']","['Comedy', 'Drama', 'Romance', 'Supernatural']",2002-04-06 - 2003-03-29,52,111792,2010,752,7.93,https://myanimelist.net/anime/122/Full_Moon_wo_Sagashite
123,"['Fushigi Yuugi', 'Fushigi Yugi', 'Curious Play', 'ふしぎ遊戯', 'Mysterious Play', 'Fushigi Yugi', 'El Juego Misterioso: Fushigi Yugi', 'Fushigi Yugi']","['Action', 'Adventure', 'Fantasy', 'Romance']",1995-04-06 - 1996-03-28,52,122500,1878,1524,7.61,https://myanimelist.net/anime/123/Fushigi_Yuugi
